VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,Unnamed: 0,DELAY_MINS,SEQ_NO
EVERETT C (TOW 2018) 72X30,1281643,D,2,10/26/23 06:35,10/25/23 11:30,10/26/23 07:00,CST,368033820.0,,,
SEA HOG (TOW),0621554,U,0,10/25/23 15:45,10/25/23 11:28,10/25/23 16:00,CST,367080090.0,,,
JEFF KINDL (TOW 2016) 86X35,1266571,U,4,10/26/23 00:45,10/25/23 11:17,10/26/23 00:55,CST,367711840.0,,,
JEFF KINDL (TOW 2016) 86X35,1266571,U,4,10/26/23 01:00,10/25/23 11:17,10/26/23 01:10,CST,367711840.0,,,
SANDRA LEE,1259133,U,3,10/25/23 23:15,10/25/23 11:14,10/25/23 23:40,CST,367663440.0,,,
SPINDLETOP (TOW 2011),1233372,U,2,10/26/23 00:15,10/25/23 11:00,10/26/23 00:25,CST,367496980.0,,,
BOLD VENTURE,1301090,D,1,10/26/23 06:10,10/25/23 09:32,10/26/23 06:30,CST,368132340.0,,,
ALYS,1233341,U,2,10/25/23 23:45,10/25/23 09:24,10/26/23 00:10,CST,368272520.0,,,
CAPT PIC NAQUIN (TOW 2011),1230958,U,2,10/25/23 22:55,10/25/23 06:20,10/25/23 23:10,CST,367477560.0,,,
RESPONDER,0543900,U,3,10/25/23 22:25,10/25/23 05:26,10/25/23 22:35,CST,368286840.0,,,
RESPONDER,0543900,U,3,10/25/23 22:40,10/25/23 05:26,10/25/23 22:50,CST,368286840.0,,,
SAINT CHARLES (TOW 2009),1223316,U,2,10/25/23 21:50,10/25/23 04:49,10/25/23 22:20,CST,367430030.0,,,
MARTIN CHALLENGER (TOW),1051672,U,2,10/25/23 20:50,10/25/23 04:46,10/25/23 21:30,CST,366874920.0,,,
STEVE RICHOUX (TOW),0568988,U,3,10/25/23 20:20,10/25/23 04:35,10/25/23 20:30,CST,366998110.0,,,
STEVE RICHOUX (TOW),0568988,U,3,10/25/23 20:35,10/25/23 04:35,10/25/23 20:45,CST,366998110.0,,,
LAFITTE,1242386,D,2,10/26/23 05:25,10/25/23 03:34,10/26/23 05:55,CST,367590270.0,,,
UNCLE NU (TOW),0624234,D,3,10/25/23 18:05,10/25/23 01:43,10/25/23 18:25,CST,367009460.0,,,
UNCLE NU (TOW),0624234,D,3,10/25/23 18:30,10/25/23 01:43,10/25/23 18:55,CST,367009460.0,,,
BOBBY JONES (TOW),0502672,D,3,10/25/23 17:25,10/25/23 01:37,10/25/23 18:00,CST,366919160.0,,,
GEORGE ROWE (TOW),0912893,U,2,10/25/23 19:51,10/24/23 20:46,10/25/23 20:00,CST,367014380.0,,,
GEORGE ROWE (TOW),0912893,U,2,10/25/23 20:05,10/24/23 20:46,10/25/23 20:15,CST,367014380.0,,,
LINDA HUGHES FARLEY,1273622,D,2,10/25/23 05:50,10/24/23 20:21,10/25/23 06:25,CST,368142010.0,,,
DODSON THORNTON,0266269,D,3,10/25/23 16:00,10/24/23 20:04,10/25/23 16:20,CST,368120610.0,,,
DODSON THORNTON,0266269,D,3,10/25/23 16:25,10/24/23 20:04,10/25/23 16:40,CST,368120610.0,,,
MISS CAROLINE (TOW 2014),1250509,D,2,10/25/23 03:10,10/24/23 19:46,10/25/23 03:35,CST,367610550.0,,,
TERRY H,1252433,D,2,10/25/23 02:40,10/24/23 17:48,10/25/23 03:05,CST,367614880.0,,,
ANITA EVE SHARP  (TOW 1985),0680357,D,3,10/25/23 00:45,10/24/23 17:43,10/25/23 00:55,CST,367057930.0,,,
ANITA EVE SHARP  (TOW 1985),0680357,D,3,10/25/23 01:00,10/24/23 17:43,10/25/23 01:10,CST,367057930.0,,,
JUDY S FRIED (TOW),1165345,U,2,10/25/23 16:40,10/24/23 16:35,10/25/23 17:25,CST,366997220.0,,,
SPINDLETOP (TOW 2011),1233372,D,2,10/25/23 01:15,10/24/23 14:03,10/25/23 01:35,CST,367496980.0,,,
EVERETT C (TOW 2018) 72X30,1281643,U,2,10/25/23 06:25,10/24/23 13:34,10/25/23 07:20,CST,368033820.0,,,
EVERARD DUPRE,1269035,D,2,10/24/23 23:55,10/24/23 12:37,10/25/23 00:40,CST,368097780.0,,,
REPOSE,1041355,U,3,10/25/23 04:41,10/24/23 11:24,10/25/23 05:00,CST,368286780.0,,,
REPOSE,1041355,U,3,10/25/23 05:05,10/24/23 11:24,10/25/23 05:20,CST,368286780.0,,,
HARRISON,1214850,D,2,10/24/23 23:25,10/24/23 09:14,10/24/23 23:50,CST,367374930.0,,,
CHARLIE C (TOW),0544273,U,3,10/25/23 01:51,10/24/23 08:59,10/25/23 02:20,CST,366961220.0,,,
CHARLIE C (TOW),0544273,U,3,10/25/23 02:25,10/24/23 08:59,10/25/23 02:40,CST,366961220.0,,,
CAPT ANDY LAKE (TOW),1239502,U,2,10/24/23 20:05,10/24/23 08:17,10/24/23 20:20,CST,367539810.0,,,
DAVID O (TOW),0637538,U,1,10/24/23 19:50,10/24/23 07:44,10/24/23 20:00,CST,368267890.0,,,
CITATION (TOW),1217083,U,3,10/24/23 18:46,10/24/23 07:43,10/24/23 19:25,CST,368213040.0,,,
CITATION (TOW),1217083,U,3,10/24/23 19:30,10/24/23 07:43,10/24/23 19:45,CST,368213040.0,,,
CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,10/24/23 18:05,10/24/23 03:04,10/24/23 18:25,CST,367677630.0,,,
BLESSED TRINITY (TOW),1216547,U,2,10/24/23 17:35,10/24/23 02:21,10/24/23 18:00,CST,367384020.0,,,
JOSEPH ALFRED DEVALL,1236564,D,3,10/24/23 17:20,10/24/23 00:26,10/24/23 17:35,CST,368250110.0,,,
T H KELLY (TOW),0693109,D,3,10/24/23 16:30,10/23/23 23:40,10/24/23 16:50,CST,367004910.0,,,
T H KELLY (TOW),0693109,D,2,10/24/23 16:55,10/23/23 23:40,10/24/23 17:05,CST,367004910.0,,,
T H KELLY (TOW),0693109,D,1,10/24/23 17:08,10/23/23 23:40,10/24/23 17:15,CST,367004910.0,,,
H J DUPRE (TOW),0532464,D,3,10/24/23 01:55,10/23/23 22:45,10/24/23 02:25,CST,367005580.0,,,
ROBERT G STONE JR (TOW),1189439,D,2,10/24/23 01:05,10/23/23 21:16,10/24/23 01:50,CST,367146780.0,,,
RICHARD B(TOW) 55X22,568300,U,0,,10/26/23 19:27,,CST,367690950.0,0.0,,
THERESA B (TOW),561744,U,0,10/26/23 18:40,10/26/23 18:37,10/26/23 18:45,CST,367056060.0,1.0,,
BOO SONIER (TOW 2012),1238039,D,2,,10/26/23 16:03,,CST,367524420.0,2.0,,
AMAZING GRACE (TOW 1958),277588,D,6,,10/26/23 16:01,,CST,367731330.0,3.0,,
MAC ANDREW MCKINNEY (TOW),1234978,D,6,,10/26/23 16:00,,CST,367500460.0,4.0,,
MISS PEYTON,633411,U,6,,10/26/23 15:26,,CST,368028990.0,5.0,,
REPOSE,1041355,D,6,,10/26/23 12:13,,CST,368286780.0,6.0,,
PHILIP (TOW 1995),1033117,U,2,,10/26/23 11:28,,CST,367003780.0,7.0,,
RICHARD  (TOW 2008),1212306,U,2,,10/26/23 11:20,,CST,367361740.0,8.0,,
RICHARD B(55X22),5681300,U,0,10/26/23 11:00,10/26/23 10:52,10/26/23 11:10,CST,,9.0,,
ADDISON FAITH,1308502,D,1,,10/26/23 09:44,,CST,368177590.0,10.0,,
ST. MATTHIAS,1273328,U,6,,10/26/23 06:25,,CST,367757270.0,11.0,,
CROSBY EXPRESS,521797,U,0,10/26/23 05:55,10/26/23 05:22,10/26/23 06:10,CST,368115150.0,12.0,,
REBOUND,286204,U,6,,10/26/23 04:43,,CST,367306520.0,13.0,,
ASPEN (TOW 2016) 75X34,1270614,U,2,,10/26/23 04:35,,CST,367762880.0,14.0,,
RICHARD B(55X22),5681300,D,0,10/26/23 00:10,10/26/23 00:07,10/26/23 00:15,CST,,15.0,,
RICHARD B(55X22),5681300,D,0,10/25/23 23:40,10/25/23 23:35,10/25/23 23:45,CST,,16.0,,
THERESA B (TOW),561744,D,0,10/25/23 23:10,10/25/23 23:08,10/25/23 23:15,CST,367056060.0,17.0,,
THERESA B (TOW),561744,D,0,10/25/23 22:50,10/25/23 22:36,10/25/23 22:55,CST,367056060.0,18.0,,
 TOM CORNWELL  ,1307050,D,6,,10/25/23 22:12,,CST,368208250.0,19.0,,
JOHN BOOZMAN (TOW 2011)81X30,1233875,D,2,,10/25/23 22:09,,CST,367493370.0,20.0,,
ALLIE BROOKE DEVALL,1214852,D,3,10/26/23 18:45,10/25/23 22:05,10/26/23 19:25,CST,368259470.0,21.0,,
INTRA RECOIL(TOW),533346,D,2,,10/25/23 22:00,,CST,368193180.0,22.0,,
RICHARD B(55X22),5681300,D,0,10/25/23 21:30,10/25/23 21:13,10/25/23 21:50,CST,,23.0,,
HUD JOSEPH (TOW 60X24 ),642513,U,1,10/26/23 00:30,10/25/23 21:00,10/26/23 00:40,CST,367378170.0,24.0,,
TRUMP IT,675384,D,6,,10/25/23 20:21,,CST,367710770.0,25.0,,
LADY OF PROMPT SUCCOR (TOW),1155422,D,6,,10/25/23 19:59,,CST,367311490.0,26.0,,
RESOLUTION (TOW),629784,D,3,10/26/23 17:30,10/25/23 16:40,10/26/23 18:15,CST,367531790.0,27.0,,
MIKE MITCHELL,624349,U,5,,10/25/23 14:50,,CST,368144320.0,28.0,,
AVENGER,1244673,D,2,10/26/23 10:30,10/25/23 13:27,10/26/23 11:00,CST,367561870.0,29.0,,
GREGORY P FRAZIER (TOW),552463,D,3,10/26/23 09:31,10/25/23 12:17,10/26/23 10:10,CST,367019930.0,30.0,,
LESLIE (TOW 73X31),1218576,D,3,10/26/23 16:26,10/25/23 12:09,10/26/23 17:05,CST,367402820.0,31.0,,
CJ STUDDERT,1273720,D,2,10/26/23 08:30,10/25/23 12:07,10/26/23 08:55,CST,367763490.0,32.0,,
EVERETT C (TOW 2018) 72X30,1281643,D,2,10/26/23 06:35,10/25/23 11:30,10/26/23 07:00,CST,368033820.0,33.0,,
SEA HOG (TOW),621554,U,0,10/25/23 15:45,10/25/23 11:28,10/25/23 16:00,CST,367080090.0,34.0,,
JEFF KINDL (TOW 2016) 86X35,1266571,U,4,10/26/23 00:45,10/25/23 11:17,10/26/23 00:55,CST,367711840.0,35.0,,
SANDRA LEE,1259133,U,3,10/25/23 23:15,10/25/23 11:14,10/25/23 23:40,CST,367663440.0,36.0,,
SPINDLETOP (TOW 2011),1233372,U,2,10/26/23 00:15,10/25/23 11:00,10/26/23 00:25,CST,367496980.0,37.0,,
