VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
COCODRIE,1259043,U,2,10/25/23 11:57,CST,367695890.0,10/25/23 12:46,10/25/23 13:09,,,
BLANCO ( TOW 2011 ) 84X32,1235527,U,2,10/25/23 10:50,CST,367503060.0,10/26/23 07:04,10/26/23 07:46,,,
WILSEY DUPRE (TOW 2010),1224664,D,2,10/25/23 10:31,CST,367443060.0,10/25/23 11:31,10/25/23 12:17,,,
SWEET LAKE,1243599,D,2,10/25/23 07:20,CST,367622960.0,10/25/23 08:39,10/25/23 08:58,,,
ENTERPRISE,1247595,D,2,10/25/23 07:10,CST,367579920.0,10/25/23 08:11,10/25/23 08:38,,,
FREEDOM (TOW),0287518,D,6,10/25/23 07:05,CST,367526590.0,10/25/23 07:06,10/25/23 08:10,,,
LADY OF PERPETUAL HELP(TOW) ,1207724,U,6,10/25/23 05:35,CST,367328790.0,10/25/23 05:36,10/25/23 06:17,,,
BLUE DIAMOND,0565688,D,1,10/25/23 02:54,CST,367086370.0,10/25/23 03:35,10/25/23 03:47,,,
RANDOLPH C,1261475,D,6,10/25/23 02:29,CST,367679550.0,10/25/23 02:30,10/25/23 03:30,,,
FATHER PAT (TOW 2011) 76X35,1237423,D,2,10/24/23 23:53,CST,367519320.0,10/25/23 00:57,10/25/23 01:53,,,
BRIAN O DANIELS ( TOW ),1198960,U,2,10/24/23 21:21,CST,367186410.0,10/25/23 00:30,10/25/23 00:56,,,
CAPT ANTHONY (TOW 2011),1232275,U,3,10/24/23 19:47,CST,367485290.0,10/25/23 00:02,10/25/23 00:25,,,
JOHN W STONE (TOW),0602406,U,1,10/24/23 19:46,CST,366954190.0,10/25/23 00:01,10/25/23 00:22,,,
MISS CATHERINE ,1301428,D,2,10/24/23 18:55,CST,368133590.0,10/24/23 22:42,10/24/23 23:25,,,
AL CENAC,1316302,U,3,10/24/23 18:19,CST,,10/24/23 21:17,10/24/23 21:57,,,
NICHOLAS VETO,1255027,D,1,10/24/23 17:51,CST,368205880.0,10/24/23 20:09,10/24/23 20:23,,,
CAPT. JERRY J. WILTZ (TOW2012),1238777,U,2,10/24/23 16:56,CST,367533780.0,10/24/23 20:24,10/24/23 20:52,,,
MUDD TUG 15,1287064,D,1,10/24/23 16:07,CST,368060790.0,10/24/23 17:55,10/24/23 19:05,,,
JACKIE (TOW 2005),1171264,D,2,10/24/23 15:12,CST,367050250.0,10/24/23 19:44,10/24/23 20:04,,,
PHILIP (TOW 1995),1033117,U,2,10/24/23 15:07,CST,367003780.0,10/24/23 17:30,10/24/23 17:51,,,
DAHLI BROOKE,1248795,D,2,10/24/23 15:03,CST,367605130.0,10/24/23 19:15,10/24/23 19:39,,,
VELMA C (TOW),1090026,D,4,10/24/23 14:22,CST,366775630.0,10/24/23 17:56,10/24/23 19:10,,,
FRANK GOLEMI (TOW),1251200,U,2,10/24/23 14:00,CST,367601620.0,10/24/23 23:26,10/24/23 23:59,,,
WOODY RICHERSON (TOW 2011),1235826,U,2,10/24/23 13:58,CST,367507070.0,10/24/23 22:21,10/24/23 22:41,,,
GREEN WING,1236106,U,3,10/24/23 13:46,CST,367504890.0,10/24/23 16:53,10/24/23 17:29,,,
HUD JOSEPH (TOW 60X24 ),0642513,U,1,10/24/23 13:39,CST,367378170.0,10/24/23 15:40,10/24/23 16:08,,,
TY DOLESE,1255918,U,2,10/24/23 13:34,CST,367650190.0,10/24/23 22:02,10/24/23 22:16,,,
CAPT SHAWN D.MARTINEZ(TOW),1238920,U,2,10/24/23 13:33,CST,367526740.0,10/24/23 16:10,10/24/23 16:51,,,
CAPTAIN RAPHAEL (TOW 1980),0622432,D,2,10/24/23 12:46,CST,368099010.0,10/24/23 15:02,10/24/23 15:38,,,
ELLY LANE (TOW),0560594,D,3,10/24/23 12:25,CST,367456810.0,10/24/23 13:51,10/24/23 15:00,,,
M/V LILLIAN LOUISE,1267422,U,2,10/24/23 10:51,CST,367724780.0,10/24/23 12:45,10/24/23 13:46,,,
SANDPIPER (TOW 2011) 34X78,1237330,D,1,10/24/23 10:09,CST,367512920.0,10/24/23 12:21,10/24/23 12:43,,,
OLIVIA H (TOW 93' X 30'),0512145,D,6,10/24/23 10:07,CST,367571840.0,10/24/23 11:25,10/24/23 12:20,,,
INNOVATOR (TOW 2003),1141274,U,3,10/24/23 09:21,CST,367456820.0,10/24/23 11:05,10/24/23 11:24,,,
TOM HENDERSON,1315976,U,2,10/24/23 09:12,CST,,10/24/23 10:42,10/24/23 11:04,,,
ASPEN (TOW 2016) 75X34,1270614,U,2,10/24/23 08:06,CST,367762880.0,10/24/23 20:57,10/24/23 21:12,,,
RICHARD  (TOW 2008),1212306,U,2,10/24/23 07:30,CST,367361740.0,10/24/23 09:56,10/24/23 10:40,,,
KEVIN ALLEN ,1273624,D,2,10/24/23 06:13,CST,368151890.0,10/24/23 09:37,10/24/23 09:55,,,
CAPT DOUG WRIGHT,1202864,D,8,10/24/23 05:24,CST,367702240.0,10/24/23 09:00,10/24/23 09:36,,,
LIV (TOW 2015) 72X30,1261486,D,5,10/24/23 04:35,CST,367682130.0,10/24/23 04:36,10/24/23 05:20,,,
GRAND ISLE(72X30),1243597,U,1,10/24/23 03:20,CST,368141380.0,10/24/23 03:47,10/24/23 04:27,,,
JOHN W STONE (TOW),0602406,D,1,10/24/23 02:15,CST,366954190.0,10/24/23 03:31,10/24/23 03:46,,,
ST. PETER,1259641,D,3,10/24/23 02:04,CST,367681480.0,10/24/23 02:41,10/24/23 03:26,,,
RED RIVER (TOW 2013) 78X34,1247072,D,2,10/24/23 01:48,CST,367576750.0,10/24/23 01:49,10/24/23 02:36,,,
CAPT NILES SHOEMAKER,1239879,U,2,10/23/23 22:32,CST,367534680.0,10/24/23 00:59,10/24/23 01:20,,,
CREOLE RIVERS (TOW),0590667,U,1,10/23/23 22:13,CST,367005470.0,10/24/23 00:31,10/24/23 00:54,,,
LEISA GAIL STRAFUSS (TOW 2013),1243633,D,2,10/26/23 18:04,CST,367616040.0,,,0.0,,
SACRED HEART (TOW 73X28),1203067,D,6,10/26/23 16:26,CST,367189510.0,10/26/23 18:30,10/26/23 19:07,1.0,,
DARIAN ALEXANDRA (TOW 2019),1269031,D,3,10/26/23 16:24,CST,368109530.0,10/26/23 18:04,10/26/23 18:28,2.0,,
EL PASO (TOW),538582,D,1,10/26/23 16:23,CST,366996420.0,10/26/23 17:36,10/26/23 18:03,3.0,,
GRAYSON,1256561,U,2,10/26/23 15:47,CST,368097590.0,10/26/23 17:12,10/26/23 17:35,4.0,,
VELMA C (TOW),1090026,U,4,10/26/23 15:42,CST,366775630.0,10/26/23 16:43,10/26/23 17:11,5.0,,
HARRISON,1214850,D,2,10/26/23 15:13,CST,367374930.0,10/26/23 16:01,10/26/23 16:42,6.0,,
DANNY OCKMAN,644041,U,6,10/26/23 14:59,CST,368103550.0,10/26/23 15:29,10/26/23 16:00,7.0,,
MUDD TUG 15,1287064,U,1,10/26/23 14:44,CST,368060790.0,10/26/23 15:19,10/26/23 15:46,8.0,,
SEA LION,57248,D,1,10/26/23 14:40,CST,367530470.0,10/26/23 14:41,10/26/23 15:18,9.0,,
AMERICAN CENTURY (TOW 2015),1261315,D,3,10/26/23 12:08,CST,367685130.0,10/26/23 12:36,10/26/23 13:14,10.0,,
JONES (TOW),1211510,U,2,10/26/23 11:02,CST,368047580.0,10/26/23 11:26,10/26/23 12:35,11.0,,
H J DUPRE (TOW),532464,D,3,10/26/23 09:59,CST,367005580.0,10/26/23 10:53,10/26/23 11:25,12.0,,
JOSEPH ALFRED DEVALL,1236564,D,3,10/26/23 09:57,CST,368250110.0,10/26/23 10:29,10/26/23 10:52,13.0,,
WILLIAM  (TOW 2009) 70X30,1222437,D,2,10/26/23 09:29,CST,367423260.0,10/26/23 09:56,10/26/23 10:28,14.0,,
CAPT JIMMY WARREN (TOW 2016) ,1265940,U,2,10/26/23 09:23,CST,367704410.0,10/26/23 09:24,10/26/23 09:55,15.0,,
TIM SCOTT,1253090,U,2,10/26/23 04:50,CST,367618670.0,10/26/23 06:03,10/26/23 06:29,16.0,,
ELLY LANE (TOW),560594,U,2,10/26/23 04:02,CST,367456810.0,10/26/23 04:56,10/26/23 05:25,17.0,,
COUSHATTA (TOW),1040099,U,2,10/26/23 02:15,CST,367456770.0,10/26/23 03:53,10/26/23 04:51,18.0,,
PARKER JAMES (TOW 72' X 30'),1276020,U,6,10/26/23 02:11,CST,368165580.0,10/26/23 05:30,10/26/23 05:58,19.0,,
ROBERT G STONE JR (TOW),1189439,D,2,10/26/23 01:34,CST,367146780.0,10/26/23 03:29,10/26/23 03:52,20.0,,
RALPH RENFRO (TOW 2012) 84X32,1243956,D,2,10/26/23 01:16,CST,367556020.0,10/26/23 02:52,10/26/23 03:24,21.0,,
BETH WILSON,1121373,D,2,10/26/23 01:14,CST,366842960.0,10/26/23 01:57,10/26/23 02:47,22.0,,
KATHRYN T DEVALL (TOW 2013),1243632,U,1,10/25/23 22:50,CST,367597350.0,10/26/23 01:18,10/26/23 01:56,23.0,,
LADY LOREN (TOW 77X29),1213455,D,1,10/25/23 22:37,CST,367370160.0,10/26/23 00:50,10/26/23 01:17,24.0,,
LAKE BORGNE,1243596,D,2,10/25/23 22:35,CST,367597250.0,10/26/23 00:01,10/26/23 00:45,25.0,,
KEVIN ALLEN ,1273624,U,2,10/25/23 22:31,CST,368151890.0,10/25/23 23:33,10/25/23 23:59,26.0,,
MISS GENEVIEVE,1276019,U,2,10/25/23 22:07,CST,368201030.0,10/25/23 22:34,10/25/23 23:28,27.0,,
JERIS AUTHEMENT,1252182,D,2,10/25/23 21:40,CST,367614940.0,10/25/23 21:47,10/25/23 22:33,28.0,,
KAYLIN NICOLE (TOW 2016) 81X32,1271719,U,2,10/25/23 18:51,CST,367755650.0,10/25/23 18:52,10/25/23 19:22,29.0,,
MANNIE (TOW 2009),1217770,U,2,10/25/23 17:07,CST,367410990.0,10/25/23 17:08,10/25/23 17:50,30.0,,
CLELAND POWELL (TOW 2009),1223818,D,2,10/25/23 14:22,CST,367431550.0,10/25/23 15:10,10/25/23 15:35,31.0,,
NATHAN GOLDING (TOW),1199250,D,2,10/25/23 14:17,CST,367301010.0,10/25/23 14:18,10/25/23 15:09,32.0,,
BLR GENERAL (TOW),501668,U,1,10/25/23 12:38,CST,367058330.0,10/25/23 12:57,10/25/23 13:14,33.0,,
PECAN ISLAND,1243601,D,2,10/25/23 12:26,CST,367637490.0,10/25/23 13:15,10/25/23 13:54,34.0,,
JEFFREY GRANT,1253473,D,1,10/25/23 11:59,CST,367627470.0,10/25/23 12:18,10/25/23 12:45,35.0,,
COCODRIE,1259043,U,2,10/25/23 11:57,CST,367695890.0,10/25/23 12:46,10/25/23 13:09,36.0,,
BLANCO ( TOW 2011 ) 84X32,1235527,U,2,10/25/23 10:50,CST,367503060.0,10/26/23 07:04,10/26/23 07:46,37.0,,
WILSEY DUPRE (TOW 2010),1224664,D,2,10/25/23 10:31,CST,367443060.0,10/25/23 11:31,10/25/23 12:17,38.0,,
SWEET LAKE,1243599,D,2,10/25/23 07:20,CST,367622960.0,10/25/23 08:39,10/25/23 08:58,39.0,,
ENTERPRISE,1247595,D,2,10/25/23 07:10,CST,367579920.0,10/25/23 08:11,10/25/23 08:38,40.0,,
FREEDOM (TOW),287518,D,6,10/25/23 07:05,CST,367526590.0,10/25/23 07:06,10/25/23 08:10,41.0,,
LADY OF PERPETUAL HELP(TOW) ,1207724,U,6,10/25/23 05:35,CST,367328790.0,10/25/23 05:36,10/25/23 06:17,42.0,,
BLUE DIAMOND,565688,D,1,10/25/23 02:54,CST,367086370.0,10/25/23 03:35,10/25/23 03:47,43.0,,
RANDOLPH C,1261475,D,6,10/25/23 02:29,CST,367679550.0,10/25/23 02:30,10/25/23 03:30,44.0,,
