VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
DUKE,1247420,D,3,2023-10-10 00:48:00,2023-10-10 19:35:00,2023-10-10 19:55:00,CST,1127,-
MICHELLE GOLDING,1258033,D,2,2023-10-09 21:54:00,2023-10-10 18:30:00,2023-10-10 19:30:00,CST,1236,-
CAPT RICKY TORRES (TOW 2016),1268710,U,2,2023-10-09 19:35:00,2023-10-10 18:00:00,2023-10-10 18:30:00,CST,1345,-
BOLD VENTURE,1301090,U,2,2023-10-09 19:03:00,2023-10-10 17:50:00,2023-10-10 17:55:00,CST,0,-
BOLD VENTURE,1301090,U,2,2023-10-09 19:03:00,2023-10-10 17:36:00,2023-10-10 17:45:00,CST,1353,-
THERESA B (TOW),561744,D,0,2023-10-10 17:24:00,2023-10-10 17:25:00,2023-10-10 17:30:00,CST,1,-
CAROLE L BRENT,1195776,U,2,2023-10-09 18:13:00,2023-10-10 17:10:00,2023-10-10 17:25:00,CST,1377,-
THERESA B (TOW),561744,D,0,2023-10-10 16:58:00,2023-10-10 17:00:00,2023-10-10 17:10:00,CST,0,-
ALPHA DOUCET,1237048,U,2,2023-10-09 17:57:00,2023-10-10 16:20:00,2023-10-10 17:00:00,CST,1343,-
LAURA ELIZABETH (TOW),501262,D,2,2023-10-09 20:31:00,2023-10-10 15:45:00,2023-10-10 16:20:00,CST,1154,-
ASPEN (TOW 2016) 75X34,1270614,D,2,2023-10-09 20:32:00,2023-10-10 15:20:00,2023-10-10 15:40:00,CST,1128,-
DRUM BAY,1238759,U,2,2023-10-09 17:11:00,2023-10-10 15:10:00,2023-10-10 15:20:00,CST,1319,-
SOUTHERN BELLE  (TOW),516701,U,3,2023-10-09 14:44:00,2023-10-10 07:10:00,2023-10-10 07:30:00,CST,0,-
SOUTHERN BELLE  (TOW),516701,U,3,2023-10-09 14:44:00,2023-10-10 06:41:00,2023-10-10 07:05:00,CST,957,-
BETSY BLESSEY,1109349,U,2,2023-10-09 13:39:00,2023-10-10 06:00:00,2023-10-10 06:15:00,CST,981,-
REBOUND,286204,U,3,2023-10-09 10:09:00,2023-10-10 04:45:00,2023-10-10 04:55:00,CST,0,-
REBOUND,286204,U,3,2023-10-09 10:09:00,2023-10-10 04:19:00,2023-10-10 04:40:00,CST,1090,-
THERESA B (TOW),561744,D,0,2023-10-10 03:47:00,2023-10-10 04:00:00,2023-10-10 04:05:00,CST,13,-
BROOKE BANTA 75X30,1233112,U,2,2023-10-09 11:37:00,2023-10-10 03:15:00,2023-10-10 04:00:00,CST,938,-
NICK LONNEMANN,1266535,U,2,2023-10-09 10:06:00,2023-10-10 02:50:00,2023-10-10 03:10:00,CST,1004,-
CALIFORNIA CHROME (TOW 2019),1292966,U,1,2023-10-09 09:59:00,2023-10-10 02:35:00,2023-10-10 02:45:00,CST,0,-
CALIFORNIA CHROME (TOW 2019),1292966,U,2,2023-10-09 09:59:00,2023-10-10 02:25:00,2023-10-10 02:30:00,CST,0,-
CALIFORNIA CHROME (TOW 2019),1292966,U,2,2023-10-09 09:59:00,2023-10-10 01:41:00,2023-10-10 02:20:00,CST,942,-
THERESA B (TOW),561744,D,0,2023-10-10 01:29:00,2023-10-10 01:30:00,2023-10-10 01:35:00,CST,1,-
CHARLIE C (TOW),544273,U,2,2023-10-09 09:04:00,2023-10-10 01:05:00,2023-10-10 01:15:00,CST,0,-
CHARLIE C (TOW),544273,U,2,2023-10-09 09:04:00,2023-10-10 00:46:00,2023-10-10 01:00:00,CST,942,-
THERESA B (TOW),561744,D,0,2023-10-10 00:12:00,2023-10-10 00:33:00,2023-10-10 00:40:00,CST,21,-
COUNT FLEET,1294853,U,4,2023-10-09 09:02:00,2023-10-10 00:15:00,2023-10-10 00:33:00,CST,913,-
MISS PEYTON,633411,U,2,2023-10-09 06:52:00,2023-10-09 23:35:00,2023-10-10 00:10:00,CST,1003,-
THERESA B (TOW),561744,D,0,2023-10-09 23:14:00,2023-10-09 23:29:00,2023-10-09 23:35:00,CST,0,-
JOSSET   (TOW 56X23),1116940,U,3,2023-10-09 09:00:00,2023-10-09 23:20:00,2023-10-09 23:29:00,CST,0,-
JOSSET   (TOW 56X23),1116940,U,3,2023-10-09 09:00:00,2023-10-09 22:55:00,2023-10-09 23:15:00,CST,835,-
GREGORY P FRAZIER (TOW),552463,U,1,2023-10-09 04:40:00,2023-10-09 22:35:00,2023-10-09 22:50:00,CST,1075,-
SARAH D (TOW),1167754,U,2,2023-10-09 04:01:00,2023-10-09 22:20:00,2023-10-09 22:30:00,CST,0,-
SARAH D (TOW),1167754,U,3,2023-10-09 04:01:00,2023-10-09 22:00:00,2023-10-09 22:15:00,CST,1079,-
CROSBY TIDE ,1078379,U,0,2023-10-09 20:59:00,2023-10-09 21:40:00,2023-10-09 21:55:00,CST,41,-
CAPTAIN EARL DEVALL (TOW)2005,1167310,D,2,2023-10-09 08:58:00,2023-10-09 21:15:00,2023-10-09 21:40:00,CST,737,-
AMERICAN RELIANCE (TOW 2016),1270208,D,2,2023-10-09 06:59:00,2023-10-09 20:35:00,2023-10-09 21:10:00,CST,816,-
STEVE RICHOUX (TOW),568988,U,3,2023-10-09 03:57:00,2023-10-09 20:10:00,2023-10-09 20:35:00,CST,0,-
STEVE RICHOUX (TOW),568988,U,3,2023-10-09 03:57:00,2023-10-09 19:00:00,2023-10-09 20:05:00,CST,903,-
DANIEL WISNER (85X30),1301802,D,2,2023-10-09 06:56:00,2023-10-09 18:20:00,2023-10-09 19:00:00,CST,684,-
WILLIAM  (TOW 2009) 70X30,1222437,D,2,2023-10-09 05:57:00,2023-10-09 18:00:00,2023-10-09 18:15:00,CST,723,-
RICHARD B(TOW) 55X22,568300,D,0,2023-10-09 17:47:00,2023-10-09 17:48:00,2023-10-09 17:55:00,CST,1,-
JEFF KINDL (TOW 2016) 86X35,1266571,U,3,2023-10-09 00:05:00,2023-10-09 17:15:00,2023-10-09 17:25:00,CST,0,-
JEFF KINDL (TOW 2016) 86X35,1266571,U,3,2023-10-09 00:05:00,2023-10-09 16:30:00,2023-10-09 17:10:00,CST,985,-
AL CENAC,1316302,D,3,2023-10-08 23:56:00,2023-10-09 16:10:00,2023-10-09 16:30:00,CST,974,-
RODNEY HAGEBOLS,1325577,D,2,2023-10-09 01:01:00,2023-10-09 15:40:00,2023-10-09 16:05:00,CST,879,-
INTRA RECOIL(TOW),0533346,D,2,2023-09-22 05:14:00,,,CST,129,3
WOOD RIVER (TOW 2012),1233527,U,2,2023-09-22 02:11:00,,,CST,312,1
PARKER JAMES (TOW 72' X 30'),1276020,U,6,2023-09-21 10:27:00,,,CST,1256,2
MICHELLE GOLDING,1258033,U,2,2023-09-22 00:21:00,2023-09-22 06:35:00,2023-09-22 06:55:00,CST,374,-
M/V LILLIAN LOUISE,1267422,U,3,2023-09-21 21:51:00,2023-09-22 06:13:00,2023-09-22 06:30:00,CST,502,-
TIM TAUZIN (TOW 52X20),1048911,U,1,2023-09-22 06:04:00,2023-09-22 06:07:00,2023-09-22 06:08:00,CST,3,-
CAPTAIN CAVIAR (PASS),LA5944G,D,0,2023-09-22 06:01:00,2023-09-22 06:02:00,2023-09-22 06:07:00,CST,1,-
GOSPEL LIGHT (TOW),0570130,U,3,2023-09-21 21:02:00,2023-09-22 05:25:00,2023-09-22 05:40:00,CST,0,-
GOSPEL LIGHT (TOW),0570130,U,3,2023-09-21 21:02:00,2023-09-22 05:06:00,2023-09-22 05:20:00,CST,484,-
ANITA EVE SHARP  (TOW 1985),0680357,D,3,2023-09-21 19:44:00,2023-09-22 04:05:00,2023-09-22 04:25:00,CST,0,-
ANITA EVE SHARP  (TOW 1985),0680357,D,4,2023-09-21 19:44:00,2023-09-22 03:41:00,2023-09-22 04:00:00,CST,477,-
MARIE  (TOW 2005),1171260,D,2,2023-09-21 13:15:00,2023-09-22 02:55:00,2023-09-22 03:15:00,CST,820,-
REBOUND,0286204,D,3,2023-09-21 06:50:00,2023-09-22 02:40:00,2023-09-22 02:50:00,CST,0,-
REBOUND,0286204,D,3,2023-09-21 06:50:00,2023-09-22 01:56:00,2023-09-22 02:35:00,CST,1146,-
PHILIP (TOW 1995),1033117,D,2,2023-09-21 12:00:00,2023-09-22 01:40:00,2023-09-22 01:50:00,CST,820,-
COUNT FLEET,1294853,D,3,2023-09-21 13:20:00,2023-09-22 01:25:00,2023-09-22 01:35:00,CST,0,-
COUNT FLEET,1294853,D,3,2023-09-21 13:20:00,2023-09-22 01:10:00,2023-09-22 01:20:00,CST,710,-
JOSSET   (TOW 56X23),1116940,D,3,2023-09-21 18:25:00,2023-09-22 00:06:00,2023-09-22 01:05:00,CST,341,-
CSS SHENANDOAH (TOW 2019),1300154,U,3,2023-09-21 03:28:00,2023-09-21 21:40:00,2023-09-21 22:00:00,CST,1092,-
TIM SCOTT,1253090,U,2,2023-09-21 00:48:00,2023-09-21 21:20:00,2023-09-21 21:35:00,CST,1232,-
EUGENIE J HUGER (TOW 2012),1242009,U,3,2023-09-21 00:20:00,2023-09-21 21:00:00,2023-09-21 21:15:00,CST,0,-
EUGENIE J HUGER (TOW 2012),1242009,U,4,2023-09-21 00:20:00,2023-09-21 20:16:00,2023-09-21 20:55:00,CST,1196,-
MON TA (TOW 70X24) 2012,1237633,U,3,2023-09-20 21:48:00,2023-09-21 19:45:00,2023-09-21 20:00:00,CST,0,-
MON TA (TOW 70X24) 2012,1237633,U,3,2023-09-20 21:48:00,2023-09-21 19:31:00,2023-09-21 19:40:00,CST,1303,-
