VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
BROOKE BANTA 75X30,1233112,D,2,2023-10-02 22:57:00,2023-10-03 00:17:00,2023-10-03 00:44:00,CST,80,-
CY,1166679,D,2,2023-10-02 21:24:00,2023-10-02 23:40:00,2023-10-03 00:06:00,CST,136,-
EMILEE ALEXIS (TOW),518267,D,1,2023-10-02 22:14:00,2023-10-02 22:58:00,2023-10-02 23:27:00,CST,44,-
AMERICAN LIFE (TOW 2016) 76X34,1268290,D,2,2023-10-02 21:12:00,2023-10-02 22:51:00,2023-10-02 23:24:00,CST,99,-
CHARLIE C (TOW),544273,D,6,2023-10-02 21:16:00,2023-10-02 22:15:00,2023-10-02 22:48:00,CST,59,-
BRITTANY LYNN (TOW 50X22),599049,D,1,2023-10-02 20:51:00,2023-10-02 21:48:00,2023-10-02 22:10:00,CST,57,-
ASPEN (TOW 2016) 75X34,1270614,U,2,2023-10-02 20:19:00,2023-10-02 20:58:00,2023-10-02 21:31:00,CST,39,-
ANITA EVE SHARP  (TOW 1985),680357,U,6,2023-10-02 20:01:00,2023-10-02 20:24:00,2023-10-02 20:56:00,CST,23,-
JEFF KINDL (TOW 2016) 86X35,1266571,D,5,2023-10-02 18:07:00,2023-10-02 19:23:00,2023-10-02 19:53:00,CST,76,-
JOHN DEMPSEY,1251693,U,2,2023-10-02 17:55:00,2023-10-02 18:30:00,2023-10-02 19:04:00,CST,35,-
F LOGAN (TOW),571495,D,1,2023-10-02 16:42:00,2023-10-02 17:10:00,2023-10-02 17:35:00,CST,28,-
WILLIAM NOLAN (TOW),622761,D,0,2023-10-02 16:08:00,2023-10-02 16:46:00,2023-10-02 17:08:00,CST,38,-
DANNY OCKMAN,644041,D,6,2023-10-02 16:00:00,2023-10-02 16:25:00,2023-10-02 17:05:00,CST,25,-
PADDY (TOW 1996),1040254,U,2,2023-10-02 14:09:00,2023-10-02 15:20:00,2023-10-02 15:59:00,CST,71,-
BETSY BLESSEY,1109349,D,2,2023-10-02 14:05:00,2023-10-02 14:30:00,2023-10-02 15:10:00,CST,25,-
ANGELLE (TOW 56X22),616510,U,1,2023-10-02 12:24:00,2023-10-02 12:46:00,2023-10-02 13:05:00,CST,22,-
HIGH ISLAND (TOW 78X34)2012,1242165,U,2,2023-10-02 11:20:00,2023-10-02 12:05:00,2023-10-02 12:40:00,CST,45,-
MISS GENEVIEVE,1276019,D,2,2023-10-02 10:40:00,2023-10-02 11:20:00,2023-10-02 11:55:00,CST,40,-
GOVERNOR MIKE HUCKABEE 80X30,1236450,U,2,2023-10-02 10:13:00,2023-10-02 10:35:00,2023-10-02 11:10:00,CST,22,-
WILTON LEBOEUF (TOW),647866,D,1,2023-10-02 08:35:00,2023-10-02 09:51:00,2023-10-02 10:25:00,CST,76,-
JUDY S FRIED (TOW),1165345,D,2,2023-10-02 08:00:00,2023-10-02 09:40:00,2023-10-02 10:20:00,CST,100,-
FORKED ISLAND,1259044,U,2,2023-10-02 07:00:00,2023-10-02 08:51:00,2023-10-02 09:32:00,CST,111,-
DELACROIX,1256869,U,1,2023-10-02 07:59:00,2023-10-02 08:30:00,2023-10-02 09:25:00,CST,31,-
