VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
CAPT. KIRK COLLETTI,1213534,U,2,2023-10-23 16:59:00,2023-10-23 17:00:00,2023-10-23 17:35:00,CST,1,-
RITA (TOW),544740,D,6,2023-10-23 15:26:00,2023-10-23 15:27:00,2023-10-23 16:19:00,CST,1,-
BLR GENERAL (TOW),501668,D,2,2023-10-23 14:22:00,2023-10-23 14:41:00,2023-10-23 14:54:00,CST,19,-
ROBERT J SHEA (TOW 2014) 84X32,1257000,D,2,2023-10-23 13:56:00,2023-10-23 13:57:00,2023-10-23 14:40:00,CST,1,-
ENDURANCE (TOW 2011)81X30,1232349,D,2,2023-10-23 12:54:00,2023-10-23 13:25:00,2023-10-23 13:48:00,CST,31,-
COCHRAN,1196742,D,2,2023-10-23 09:38:00,2023-10-23 12:51:00,2023-10-23 13:24:00,CST,193,-
DELACROIX,1256869,U,1,2023-10-22 21:25:00,2023-10-23 12:24:00,2023-10-23 12:50:00,CST,899,-
CLELAND POWELL (TOW 2009),1223818,U,2,2023-10-23 08:10:00,2023-10-23 12:00:00,2023-10-23 12:22:00,CST,230,-
RANDY J ADAMS (TOW 2013),1244042,U,2,2023-10-23 05:11:00,2023-10-23 11:38:00,2023-10-23 11:58:00,CST,387,-
MISS GENEVIEVE,1276019,D,2,2023-10-22 23:01:00,2023-10-23 10:35:00,2023-10-23 11:10:00,CST,694,-
LUCAS PAUL DEVALL (TOW 2017),1277619,D,2,2023-10-22 22:52:00,2023-10-23 10:15:00,2023-10-23 10:34:00,CST,683,-
SHANNON MARY (TOW) 80X32,1255674,D,2,2023-10-22 22:19:00,2023-10-23 09:22:00,2023-10-23 10:06:00,CST,663,-
JUDY S FRIED (TOW),1165345,U,2,2023-10-23 05:12:00,2023-10-23 08:52:00,2023-10-23 09:21:00,CST,220,-
KATHRYN T DEVALL (TOW 2013),1243632,D,1,2023-10-22 22:04:00,2023-10-22 22:05:00,2023-10-22 23:02:00,CST,1,-
RANDY J TROSCLAIR (TOW 2011),1237081,D,1,2023-10-22 20:29:00,2023-10-22 22:00:00,2023-10-22 22:58:00,CST,91,-
RISEN SAVIOUR (TOW),1191228,U,5,2023-10-22 20:34:00,2023-10-22 21:32:00,2023-10-22 21:59:00,CST,58,-
FLORENCE DAVIS,1280394,U,2,2023-10-22 19:58:00,2023-10-22 21:01:00,2023-10-22 21:27:00,CST,63,-
LUBBOCK,1260379,U,2,2023-10-22 19:49:00,2023-10-22 20:17:00,2023-10-22 20:56:00,CST,28,-
FALCON,1324494,D,2,2023-10-22 19:46:00,2023-10-22 19:47:00,2023-10-22 20:16:00,CST,1,-
ABBY KATE,633912,D,2,2023-10-22 18:27:00,2023-10-22 18:34:00,2023-10-22 19:00:00,CST,7,-
JEFF KINDL (TOW 2016) 86X35,1266571,U,8,2023-10-22 17:53:00,2023-10-22 17:58:00,2023-10-22 18:33:00,CST,5,-
SANDRA LEE,1259133,U,3,2023-10-22 16:25:00,2023-10-22 17:07:00,2023-10-22 17:56:00,CST,42,-
PINTAIL (TOW 2009) 57X28,1225748,U,1,2023-10-22 16:16:00,2023-10-22 16:36:00,2023-10-22 17:06:00,CST,20,-
FATHER PAT (TOW 2011) 76X35,1237423,U,4,2023-10-22 15:47:00,2023-10-22 16:17:00,2023-10-22 16:34:00,CST,30,-
BERDON LAWRENCE,1306286,D,2,2023-10-22 15:28:00,2023-10-22 15:29:00,2023-10-22 16:02:00,CST,1,-
PAT CENAC,1303152,U,6,2023-10-22 14:01:00,2023-10-22 14:23:00,2023-10-22 14:49:00,CST,22,-
ALYS,1233341,U,2,2023-10-22 13:25:00,2023-10-22 14:02:00,2023-10-22 14:22:00,CST,37,-
SAINT CHARLES (TOW 2009),1223316,U,2,2023-10-22 13:10:00,2023-10-22 13:16:00,2023-10-22 14:00:00,CST,6,-
JASON LUHR (TOW),1079857,U,6,2023-10-22 12:09:00,2023-10-22 12:33:00,2023-10-22 13:15:00,CST,24,-
ROBERT MUDD (TOW,1229106,D,1,2023-10-22 12:08:00,2023-10-22 12:09:00,2023-10-22 12:32:00,CST,1,-
COUNT FLEET,1294853,U,6,2023-10-22 10:08:00,2023-10-22 10:09:00,2023-10-22 10:44:00,CST,1,-
MARTIN CHALLENGER (TOW),1051672,U,2,2023-10-22 00:44:00,2023-10-22 01:34:00,2023-10-22 01:57:00,CST,50,-
DAVID MCNEMAR (TOW 2010),1226350,U,2,2023-10-22 00:35:00,2023-10-22 01:07:00,2023-10-22 01:32:00,CST,32,-
CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,2023-10-22 00:01:00,2023-10-22 00:43:00,2023-10-22 01:05:00,CST,42,-
TOM HENDERSON,1315976,D,2,2023-10-21 23:41:00,2023-10-22 00:05:00,2023-10-22 00:25:00,CST,24,-
