VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
CAPT LANCE DRAGON ( TOW ),1195404,U,2,10/29/23 11:36,CST,367162270.0,10/30/23 15:20,10/30/23 16:47,Port Allen
REPOSE,1041355,U,6,10/29/23 11:00,CST,368286780.0,10/30/23 13:37,10/30/23 14:32,Port Allen
SYDNEY ANN (TOW),1184206,U,2,10/29/23 10:54,CST,367114880.0,10/30/23 12:00,10/30/23 13:00,Port Allen
REBOUND,286204,D,6,10/29/23 10:45,CST,367306520.0,,,Port Allen
KATHRYN T DEVALL (TOW 2013),1243632,U,1,10/29/23 10:28,CST,367597350.0,10/29/23 17:10,10/29/23 17:50,Port Allen
SCOTT R WILSON (TOW),1114162,U,2,10/29/23 10:20,CST,366816020.0,10/30/23 04:28,10/30/23 05:30,Port Allen
CAPT JIMMY WARREN (TOW 2016) ,1265940,U,2,10/29/23 10:17,CST,367704410.0,10/29/23 22:15,10/29/23 23:30,Port Allen
SCF MARINE HWY,1250741,U,8,10/29/23 07:19,CST,368119120.0,10/30/23 07:00,10/30/23 07:49,Port Allen
MISS RACHEL (TOW 65X24),1063182,D,1,10/29/23 07:04,CST,366995370.0,10/29/23 10:20,10/29/23 11:05,Port Allen
CAPT ANDY LAKE (TOW),1239502,D,2,10/29/23 06:36,CST,367539810.0,,,Port Allen
A.B. CENAC,1201765,U,1,10/29/23 06:32,CST,368238290.0,10/29/23 09:15,10/29/23 10:15,Port Allen
KENNY BILLIOT (TOW 2013),1244012,U,1,10/29/23 04:51,CST,367556670.0,10/29/23 06:45,10/29/23 07:40,Port Allen
RANDY ECKSTEIN (TOW 153X45),539889,D,6,10/29/23 04:37,CST,365922894.0,10/31/23 06:10,10/31/23 07:05,Port Allen
MISSION (TOW 84X32) 2012,1240072,D,2,10/29/23 03:00,CST,367533930.0,10/30/23 18:30,10/30/23 19:10,Port Allen
MIKE MITCHELL,624349,D,6,10/29/23 02:44,CST,368144320.0,10/30/23 17:09,10/30/23 17:59,Port Allen
LAURA M,1315595,D,2,10/28/23 22:14,CST,368201570.0,10/30/23 11:02,10/30/23 11:56,Port Allen
KENNY BILLIOT (TOW 2013),1244012,D,1,10/28/23 21:45,CST,367556670.0,10/28/23 23:35,10/29/23 01:14,Port Allen
MICHELE GONSOULIN ( TOW ),1194788,D,2,10/28/23 20:43,CST,367303080.0,10/30/23 09:33,10/30/23 10:20,Port Allen
GRAYSON,1256561,U,2,10/28/23 20:16,CST,368097590.0,10/29/23 19:25,10/29/23 20:24,Port Allen
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,10/28/23 19:44,CST,367508430.0,10/30/23 08:09,10/30/23 09:00,Port Allen
DENNIS ROSS (TOW),544705,D,3,10/28/23 19:06,CST,366936680.0,10/30/23 05:40,10/30/23 06:40,Port Allen
PORT MANSFIELD,1262416,U,2,10/28/23 18:17,CST,368169060.0,10/29/23 17:15,10/29/23 18:00,Port Allen
KAYLIN NICOLE (TOW 2016) 81X32,1271719,U,2,10/28/23 18:09,CST,367755650.0,10/30/23 01:40,10/30/23 03:08,Port Allen
ACE G ,629629,U,1,10/28/23 18:06,CST,367352250.0,10/28/23 19:51,10/28/23 20:58,Port Allen
RIO GRANDE,1248275,D,2,10/28/23 17:36,CST,367585170.0,10/30/23 03:17,10/30/23 04:25,Port Allen
BLANCO ( TOW 2011 ) 84X32,1235527,U,2,10/28/23 17:24,CST,367503060.0,10/29/23 13:45,10/29/23 14:25,Port Allen
THREE RIVERS (TOW 2013) 78X34,1250092,D,2,10/28/23 16:47,CST,367595460.0,10/30/23 00:20,10/30/23 01:30,Port Allen
LADY OF PERPETUAL HELP(TOW) ,1207724,U,6,10/28/23 10:46,CST,367328790.0,10/29/23 09:05,10/29/23 10:10,Port Allen
DELACROIX,1256869,D,1,10/28/23 08:40,CST,368136920.0,10/28/23 16:15,10/28/23 17:25,Port Allen
MISS PEYTON,633411,U,6,10/28/23 06:53,CST,368028990.0,10/29/23 11:30,10/29/23 12:20,Port Allen
KEVIN ALLEN ,1273624,U,2,10/28/23 06:38,CST,368151890.0,10/29/23 06:55,10/29/23 07:45,Port Allen
MICHELLE GOLDING,1258033,D,2,10/28/23 04:55,CST,367652980.0,10/29/23 20:50,10/29/23 21:55,Port Allen
ALICE (TOW),289731,U,2,10/27/23 21:30,CST,,10/29/23 04:00,10/29/23 05:05,Port Allen
HOUSTON FORET (TOW 1981) 57X24,633661,D,1,10/27/23 21:26,CST,367588960.0,10/28/23 13:45,10/28/23 14:35,Port Allen
SCF MARINE HWY,1250741,D,8,10/27/23 21:15,CST,368119120.0,10/29/23 18:13,10/29/23 19:14,Port Allen
LUCY MAY,614508,D,6,10/27/23 20:55,CST,367002580.0,10/29/23 14:45,10/29/23 15:30,Port Allen
SCF CONTAINER EXPRESS ,1250819,D,8,10/27/23 20:40,CST,368119090.0,10/29/23 15:55,10/29/23 16:50,Port Allen
MARK L DUPLANTIS,1209682,D,8,10/27/23 18:43,CST,367702060.0,10/29/23 12:30,10/29/23 13:30,Port Allen
CAPTAIN ROY DANIELS,1316301,D,6,10/27/23 17:27,CST,368252420.0,10/29/23 10:30,10/29/23 11:15,Port Allen
JOSSET   (TOW 56X23),1116940,D,3,10/27/23 15:30,CST,366841020.0,10/29/23 08:05,10/29/23 08:50,Port Allen
JOCK  (TOW 2000)  86X30,1101550,D,2,10/27/23 15:16,CST,367003460.0,10/29/23 05:30,10/29/23 06:30,Port Allen
ST. MATTHIAS,1273328,U,6,10/27/23 14:36,CST,367757270.0,10/29/23 01:28,10/29/23 02:35,Port Allen
REBOUND,286204,U,6,10/27/23 14:17,CST,367306520.0,10/28/23 22:15,10/28/23 23:16,Port Allen
GALVESTON (TOW 76X35),1216091,D,2,10/27/23 14:04,CST,367381320.0,10/29/23 02:45,10/29/23 03:45,Port Allen
PHILIP (TOW 1995),1033117,U,2,10/27/23 12:58,CST,367003780.0,10/28/23 20:00,10/28/23 21:05,Port Allen
WOODY RICHERSON (TOW 2011),1235826,U,2,10/27/23 12:49,CST,367507070.0,10/28/23 17:40,10/28/23 18:50,Port Allen
MIKE MITCHELL,624349,U,6,10/27/23 12:23,CST,368144320.0,10/28/23 15:15,10/28/23 16:05,Port Allen
LOUISE NEWELL,1293670,D,2,10/27/23 12:19,CST,368090850.0,10/29/23 00:05,10/29/23 01:20,Port Allen
AMMIE  (TOW 2010)95X30,1225687,D,2,10/27/23 10:24,CST,367448570.0,10/28/23 21:08,10/28/23 22:05,Port Allen
RESPONDER,543900,D,6,10/27/23 04:21,CST,368286840.0,10/28/23 18:55,10/28/23 19:35,Port Allen
J A WARD (TOW 2006),1206273,D,6,10/27/23 03:24,CST,367662530.0,10/28/23 16:25,10/28/23 17:30,Port Allen
STEVE RICHOUX (TOW),568988,D,6,10/27/23 03:02,CST,366998110.0,10/28/23 13:50,10/28/23 14:40,Port Allen
