VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
CHERYL ANN (TOW 66X26),1134298,D,0,10/29/23 10:29,CST,366874680.0,10/29/23 11:20,10/29/23 11:49,Leland Bowman
JADEN PASENTINE,1296289,D,2,10/29/23 10:08,CST,368113380.0,10/29/23 12:00,10/29/23 12:25,Leland Bowman
HOLY ROSARY (TOW 74X30),1217490,D,6,10/29/23 09:24,CST,367389530.0,10/29/23 11:25,10/29/23 11:55,Leland Bowman
RANDOLPH C,1261475,U,3,10/29/23 09:12,CST,367679550.0,10/29/23 10:35,10/29/23 11:13,Leland Bowman
SAN ANTONIO (TOW 2011),1236027,D,2,10/29/23 08:19,CST,367507730.0,10/29/23 09:45,10/29/23 10:16,Leland Bowman
LUBBOCK,1260379,U,2,10/29/23 07:26,CST,368136890.0,10/29/23 08:31,10/29/23 09:17,Leland Bowman
INTRA RECOIL(TOW),533346,U,2,10/29/23 06:24,CST,368193180.0,10/29/23 08:20,10/29/23 09:12,Leland Bowman
BRIAN O DANIELS ( TOW ),1198960,D,2,10/29/23 04:55,CST,367186410.0,10/29/23 06:00,10/29/23 06:25,Leland Bowman
DISCOVERY ,1225821,D,2,10/29/23 04:51,CST,367443840.0,10/29/23 07:10,10/29/23 07:55,Leland Bowman
JAMES S DAVISON (TOW 86X32) ,1211188,U,2,10/29/23 04:44,CST,367505050.0,10/29/23 05:10,10/29/23 05:45,Leland Bowman
STEVEN M BRYAN (2010) 86X32,1223817,D,2,10/29/23 03:22,CST,367430050.0,10/29/23 03:45,10/29/23 04:15,Leland Bowman
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/29/23 01:37,CST,367423260.0,10/29/23 02:51,10/29/23 03:15,Leland Bowman
CAPT DOUG WRIGHT,1202864,U,4,10/29/23 01:25,CST,367702240.0,10/29/23 02:10,10/29/23 02:45,Leland Bowman
ELDA A,1253279,D,1,10/29/23 01:23,CST,367639990.0,10/29/23 01:30,10/29/23 01:55,Leland Bowman
CAPT TIMMY,628797,D,0,10/28/23 22:28,CST,366991110.0,10/28/23 22:50,10/28/23 23:18,Leland Bowman
SOUTHERN BELLE  (TOW),516701,D,6,10/28/23 21:51,CST,368115890.0,10/28/23 23:56,10/29/23 00:20,Leland Bowman
DUKE,1247420,D,2,10/28/23 21:32,CST,367586750.0,10/28/23 23:24,10/28/23 23:50,Leland Bowman
AMAZING GRACE (TOW 1958),277588,D,6,10/28/23 20:36,CST,367731330.0,10/28/23 22:40,10/28/23 23:15,Leland Bowman
DODSON THORNTON,266269,U,6,10/28/23 19:41,CST,368120610.0,10/28/23 21:51,10/28/23 22:15,Leland Bowman
FALCON,1324494,U,2,10/28/23 18:40,CST,368260030.0,10/28/23 21:15,10/28/23 21:45,Leland Bowman
RAY S (TOW 2017),1282990,D,2,10/28/23 18:04,CST,368019060.0,10/28/23 20:01,10/28/23 20:45,Leland Bowman
JACKIE GONSOULIN ( TOW ),1194711,D,2,10/28/23 17:29,CST,367332930.0,10/28/23 19:25,10/28/23 19:55,Leland Bowman
CAPT J A MORGAN (TOW),1186680,D,2,10/28/23 17:17,CST,367118980.0,10/28/23 18:51,10/28/23 19:15,Leland Bowman
JANE MERRICK,1251402,D,3,10/28/23 16:36,CST,367620420.0,10/28/23 18:07,10/28/23 18:45,Leland Bowman
ANNA MICHAEL,1243603,U,0,10/28/23 15:59,CST,367565110.0,10/28/23 16:21,10/28/23 16:43,Leland Bowman
MARTHA T (TOW),1194629,U,6,10/28/23 15:08,CST,367156850.0,10/28/23 17:21,10/28/23 17:53,Leland Bowman
BOBBY JONES (TOW),502672,U,3,10/28/23 15:06,CST,366919160.0,10/28/23 16:49,10/28/23 17:15,Leland Bowman
TEE CENAC,1321259,D,1,10/28/23 15:03,CST,,10/28/23 15:05,10/28/23 15:35,Leland Bowman
MISS MICHELLE  (TOW),607802,D,2,10/28/23 14:39,CST,366940860.0,10/28/23 14:47,10/28/23 15:30,Leland Bowman
ENTERPRISE,1247595,U,2,10/28/23 13:48,CST,367579920.0,10/28/23 14:15,10/28/23 14:43,Leland Bowman
FREEDOM (TOW),287518,U,6,10/28/23 12:35,CST,367526590.0,10/28/23 16:00,10/28/23 16:40,Leland Bowman
