VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
FREEDOM (TOW),287518,U,3,10/29/23 11:25,CST,367526590.0,10/29/23 18:11,10/29/23 18:30,Bayou Sorrel
FREEDOM (TOW),287518,U,3,10/29/23 11:25,CST,367526590.0,10/29/23 18:35,10/29/23 19:00,Bayou Sorrel
RICHARD B(TOW) 55X22,568300,D,0,10/29/23 11:14,CST,367690950.0,10/29/23 11:28,10/29/23 11:32,Bayou Sorrel
GALVESTON (TOW 76X35),1216091,D,2,10/29/23 11:03,CST,367381320.0,10/29/23 16:50,10/29/23 17:00,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/29/23 10:41,CST,367056060.0,10/29/23 10:57,10/29/23 11:01,Bayou Sorrel
LOUISE NEWELL,1293670,D,2,10/29/23 10:35,CST,368090850.0,10/29/23 15:50,10/29/23 16:05,Bayou Sorrel
RICHARD B(TOW) 55X22,568300,D,0,10/29/23 10:32,CST,367690950.0,10/29/23 10:33,10/29/23 10:40,Bayou Sorrel
RICHARD B(TOW) 55X22,568300,D,0,10/29/23 09:25,CST,367690950.0,10/29/23 09:26,10/29/23 09:33,Bayou Sorrel
ENTERPRISE,1247595,U,2,10/29/23 09:06,CST,367579920.0,10/29/23 11:32,10/29/23 12:05,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/29/23 08:19,CST,367056060.0,10/29/23 08:20,10/29/23 08:24,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/29/23 07:45,CST,367056060.0,10/29/23 07:54,10/29/23 08:00,Bayou Sorrel
RICHARD B(TOW) 55X22,568300,D,0,10/29/23 07:15,CST,367690950.0,10/29/23 07:16,10/29/23 07:25,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/29/23 06:09,CST,367056060.0,10/29/23 06:17,10/29/23 06:22,Bayou Sorrel
AMMIE  (TOW 2010)95X30,1225687,D,2,10/29/23 03:49,CST,367448570.0,10/29/23 15:35,10/29/23 15:45,Bayou Sorrel
MISS KELLY (TOW 2009),1221425,U,2,10/29/23 03:44,CST,367427270.0,10/29/23 11:01,10/29/23 11:28,Bayou Sorrel
RESPONDER,543900,D,3,10/29/23 02:39,CST,368286840.0,10/29/23 16:10,10/29/23 16:30,Bayou Sorrel
RESPONDER,543900,D,3,10/29/23 02:39,CST,368286840.0,10/29/23 16:35,10/29/23 16:45,Bayou Sorrel
AMERICAN SKILL,1271964,U,2,10/29/23 00:41,CST,367752120.0,10/29/23 10:40,10/29/23 10:57,Bayou Sorrel
BORN AGAIN (TOW),562776,U,3,10/29/23 00:15,CST,367712770.0,10/29/23 10:15,10/29/23 10:20,Bayou Sorrel
BORN AGAIN (TOW),562776,U,2,10/29/23 00:15,CST,367712770.0,10/29/23 10:25,10/29/23 10:30,Bayou Sorrel
J A WARD (TOW 2006),1206273,D,3,10/28/23 23:43,CST,367662530.0,10/29/23 17:31,10/29/23 17:40,Bayou Sorrel
J A WARD (TOW 2006),1206273,D,3,10/28/23 23:43,CST,367662530.0,10/29/23 17:45,10/29/23 17:55,Bayou Sorrel
DELACROIX,1256869,D,1,10/28/23 22:38,CST,368136920.0,10/29/23 13:25,10/29/23 13:35,Bayou Sorrel
STEVE RICHOUX (TOW),568988,D,3,10/28/23 22:03,CST,366998110.0,10/29/23 15:01,10/29/23 15:20,Bayou Sorrel
STEVE RICHOUX (TOW),568988,D,3,10/28/23 22:03,CST,366998110.0,10/29/23 15:25,10/29/23 15:30,Bayou Sorrel
RITA (TOW),544740,U,2,10/28/23 18:40,CST,366961280.0,10/29/23 09:46,10/29/23 10:00,Bayou Sorrel
RITA (TOW),544740,U,3,10/28/23 18:40,CST,366961280.0,10/29/23 10:05,10/29/23 10:10,Bayou Sorrel
TRUMP IT,675384,U,3,10/28/23 18:24,CST,367710770.0,10/29/23 08:55,10/29/23 09:00,Bayou Sorrel
TRUMP IT,675384,U,3,10/28/23 18:24,CST,367710770.0,10/29/23 09:05,10/29/23 09:10,Bayou Sorrel
DANNY OCKMAN,644041,U,3,10/28/23 17:58,CST,368103550.0,10/29/23 08:24,10/29/23 08:40,Bayou Sorrel
DANNY OCKMAN,644041,U,3,10/28/23 17:58,CST,368103550.0,10/29/23 08:45,10/29/23 08:50,Bayou Sorrel
LAFITTE,1242386,U,2,10/28/23 17:22,CST,367590270.0,10/29/23 08:00,10/29/23 08:20,Bayou Sorrel
CAPT LANCE DRAGON ( TOW ),1195404,U,2,10/28/23 16:45,CST,367162270.0,10/29/23 07:25,10/29/23 07:54,Bayou Sorrel
HOUSTON FORET (TOW 1981) 57X24,633661,D,2,10/28/23 16:22,CST,367588960.0,10/28/23 23:35,10/29/23 00:00,Bayou Sorrel
