VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,LOCK_NAME
JOHN PADGETT ELEVATOR (JU),647205,U,1,10/29/23 11:29,10/29/23 11:14,10/29/23 11:33,CST,,Calcasieu
CAPT J A MORGAN (TOW),1186680,D,2,10/29/23 12:26,10/29/23 11:09,10/29/23 12:53,CST,367118980.0,Calcasieu
JANE MERRICK,1251402,D,3,10/29/23 12:03,10/29/23 10:55,10/29/23 12:25,CST,367620420.0,Calcasieu
MAC ANDREW MCKINNEY (TOW),1234978,D,6,10/29/23 10:59,10/29/23 10:08,10/29/23 11:13,CST,367500460.0,Calcasieu
JACKIE GONSOULIN ( TOW ),1194711,D,2,10/29/23 10:37,10/29/23 10:02,10/29/23 10:47,CST,367332930.0,Calcasieu
RESOLUTION (TOW),629784,D,6,10/29/23 09:33,10/29/23 08:29,10/29/23 09:55,CST,367531790.0,Calcasieu
JEFFREY GRANT,1253473,U,1,10/29/23 06:10,10/29/23 05:34,10/29/23 06:26,CST,367627470.0,Calcasieu
 TOM CORNWELL  ,1307050,D,6,10/29/23 05:13,10/29/23 05:07,10/29/23 05:58,CST,368208250.0,Calcasieu
LANEY BLESSEY WATKINS ( TOW),1251462,U,2,10/29/23 03:40,10/29/23 03:28,10/29/23 04:14,CST,367613760.0,Calcasieu
TEE CENAC,1321259,D,1,10/29/23 02:43,10/29/23 02:23,10/29/23 03:01,CST,,Calcasieu
MISS MICHELLE  (TOW),607802,D,2,10/29/23 02:23,10/29/23 02:12,10/29/23 02:40,CST,366940860.0,Calcasieu
SACRED HEART (TOW 73X28),1203067,U,6,10/29/23 01:30,10/29/23 01:20,10/29/23 02:08,CST,367189510.0,Calcasieu
DRUM BAY,1238759,D,2,10/29/23 00:08,10/28/23 23:30,10/29/23 00:39,CST,368007120.0,Calcasieu
LADY OF PROMPT SUCCOR (TOW),1155422,D,6,10/28/23 23:40,10/28/23 23:15,10/29/23 00:06,CST,367311490.0,Calcasieu
PAT CENAC,1303152,D,3,10/28/23 23:05,10/28/23 22:53,10/28/23 23:34,CST,368175520.0,Calcasieu
TIM GOLDING ,1325050,U,1,10/28/23 21:50,10/28/23 20:57,10/28/23 22:13,CST,368270030.0,Calcasieu
SYDNEE TAYLOR (TOW),1191691,U,1,10/28/23 21:27,10/28/23 20:42,10/28/23 21:46,CST,367149340.0,Calcasieu
LILLIANNE D,1301272,D,2,10/28/23 22:26,10/28/23 20:22,10/28/23 22:54,CST,368145870.0,Calcasieu
RICHARD TOLAR (85X30),1225115,U,2,10/28/23 20:45,10/28/23 19:51,10/28/23 21:25,CST,367439360.0,Calcasieu
GREGORY P FRAZIER (TOW),552463,D,2,10/28/23 20:02,10/28/23 19:22,10/28/23 20:39,CST,367019930.0,Calcasieu
RENEE T WHATLEY (TOW),1194317,U,1,10/28/23 19:18,10/28/23 19:15,10/28/23 19:43,CST,367155550.0,Calcasieu
MS. ALICE,625971,D,1,10/28/23 19:10,10/28/23 18:30,10/28/23 19:17,CST,368264020.0,Calcasieu
LESLIE (TOW 73X31),1218576,D,6,10/28/23 18:36,10/28/23 18:28,10/28/23 19:09,CST,367402820.0,Calcasieu
CHAMPION ( TOW 2013) 85X35,1247079,D,1,10/28/23 17:34,10/28/23 17:16,10/28/23 18:08,CST,367573410.0,Calcasieu
INTRA RECOIL(TOW),533346,U,2,10/28/23 16:47,10/28/23 16:46,10/28/23 17:33,CST,368193180.0,Calcasieu
RANDOLPH C,1261475,U,3,10/28/23 15:59,10/28/23 15:15,10/28/23 16:28,CST,367679550.0,Calcasieu
LUBBOCK,1260379,U,2,10/28/23 15:13,10/28/23 15:00,10/28/23 15:58,CST,368136890.0,Calcasieu
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/28/23 14:34,10/28/23 14:33,10/28/23 15:12,CST,367423260.0,Calcasieu
